Art (Niveau 1);Slægt (Niveau 2);Tribus (Niveau 3);Underfamilie (Niveau 4);Familie (Niveau 5);Overfamilie (Niveau 6);Orden (Niveau 7);Referencetekst;Den_danske_roedliste;Dansk;Autor;Dansk_navn;Familie_dk;Synonymer;Billeder;;;;;;;;;
Ocypus aeneocephalus;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(De Geer, 1774);;Rovbiller;;454;455;;;;;;;;
Ocypus brunnipes;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1781);;Rovbiller;;450;451;;;;;;;;
Ocypus fuscatus;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;448;449;;;;;;;;
Ocypus nitens;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Schrank, 1781);;Rovbiller;similis;445;446;447;;;;;;;
Ocypus olens;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Müller, 1764);Stor rovbille;Rovbiller;;439;440;441;;;;;;;
Ocypus ophthalmicus;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Scopoli, 1763);Blå kæmperovbille;Rovbiller;;442;443;444;;;;;;;
Ocypus picipennis;Ocypus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1793);;Rovbiller;;452;453;;;;;;;;
Ontholestes murinus;Ontholestes;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Linnaeus, 1758);Lille jagtrovbille;Rovbiller;;484;485;;;;;;;;
Ontholestes tessellatus;Ontholestes;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Geoffroy, 1785);Stor jagtrovbille;Rovbiller;;482;483;;;;;;;;
Othius angustus;Othius;Othiini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1833;;Rovbiller;melanocephalus;583;584;;;;;;;;
Othius punctulatus;Othius;Othiini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Goeze, 1777);;Rovbiller;;585;;;;;;;;;
Othius subuliformis;Othius;Othiini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1833;;Rovbiller;myrmecophilus;586;;;;;;;;;
